OBJECTID,Categoria,Codigo Tramo,Poste de Referencia Inicial,Distancia Inicial,Poste de Referencia Final,Distancia Final,Nombre Ruta,Sector,Administrador,Grupo Administrador Vial,Superficie,Calzada,Ruta,Fuente,GlobalID,nombretramo,created_user,created_date,last_edited_user,last_edited_date,Territorial,revisionestado,Shape__Length
11,2,55ST02,0,0,124,0,Conexiones Troncal Central - Troncal Central del Norte,Málaga - Los Curos,1,1,3,2,55,IGAC (Contrato 2932/2008),3ad93514-204b-4ebc-8b15-d403a29742fa,Malaga - Los Curos,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,22,2,122403.648117352
12,1,3002,57,500,111,0,Transversal Neiva - San Vicente,Santo Domingo - Mina Blanca,1,3,1,1,30,IGAC (Contrato 2130/2014),b03a4728-73cc-4313-9b23-3e7f7c103f8a,Santo Domingo - Mina Blanca,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,6,1,53153.6407832235
13,1,23VL02-2,0,0,6,200,Circuito Cali - Palmira,El Limón - La Acequia,2,,3,1,23,IGAC (Contrato 2932/2008),ed944cf7-085e-4eec-9317-0d817fec2ffe,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,28,No Revisado,6253.63005862367
14,1,23VL02-1,0,0,3,700,Circuito Cali - Palmira,El Limón - Rozo,3,,3,1,23,IGAC (Contrato 2932/2008),11029c37-aac6-4e0b-ac8c-d979b6f9804e,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,25,No Revisado,3792.86717011688
15,1,2504,106,549,116,776,Alternas a la Troncal de Occidente,Santander-Ye de Villarrica,1,1,1,2,25,IGAC (Contrato 2932/2008),0ec6019f-3ab5-4f41-949f-f6e9e751c7c5,Santander-Ye de Villarrica,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,25,1,20659.5773896619
16,1,25CRA,0,0,4,569.62,Troncal de Occidente,Variante de Planeta Rica,2,,1,2,25,ANI,205f3cf6-c128-416d-aaf6-7a85054d6c70,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,28,No Revisado,5601.99598602243
17,1,4001,0,0,0,0,Transversal Buenaventura - Villavicencio - Puerto Carreño,Segmentos  Viales fuera de Servicio,5,1, ,2,40,IGAC (Contrato 2932/2008),ce0ceac9-8e32-40ce-ba50-f0a39ab5e40a,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,25,No Revisado,3395.93909296121
18,1,43HL02-1,0,0,8,962,Alternas a la Troncal del Magdalena,EL Juncal-Casa Blanca,2,,1,3,43,Por Defnir,fa91de93-f721-469a-9a70-40b41a90c766,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,28,No Revisado,9016.43772674044
19,4,45CSD,0,0,1,139,Troncal del Magdalena,Variante al  Poblado El Libano,2,2,3,1,45,Por Defnir,4c80c257-2dcc-4dd5-840b-618815fee3f9,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,26,No Revisado,2137.69718660104
20,4,70NS06-1,0,0,1,272,Conexión Colombia - Venezuela,Cucuta - Puente Binacional Tienditas,1,2,1,2,70,Por Defnir,958de947-cc30-43ff-9dc4-7243fdda1bff,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,18,No Revisado,2605.54498105382
21,1,80MGA,0,0,2,868.6,Transversal Carmen - Bosconia - Valledupar - Maicao - Puerto Bolivar,Variante de Pueblo Nuevo,2,,3,2,80,ANI,93e6b31d-eb33-4c0a-9857-2e70faf0da05,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,28,No Revisado,6073.34352772974
22,1,25ANH,0,0,4,658,Troncal de Occidente,Variante de Caucasia,2,,3,3,25,ANI,6af5cc69-d614-4777-830a-95805b127289,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,28,No Revisado,5422.3479838723
23,1,3001,0,0,54,0,Transversal Neiva - San Vicente,Neiva - Balsillas,1,3,3,1,30,IGAC (Contrato 2130/2014),bb5a8ca6-b439-4679-871e-f07581ee2b78,Transversal Neiva - San Vicente,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,14,No Revisado,53691.9631172562
24,1,3602,1,0,47,514,Alternas Buga - Puerto Inirida,Chaparral - Ortega,1,1,1,1,36,IGAC (Contrato 2932/2008),c7c7b3ba-77ca-4835-824c-9dced9c738eb,Chaparral - Ortega,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,24,1,43739.4573368532
25,4,25ANI,0,0,2,76,Alternas a la Troncal de Occidente,Variante La Pintada,2,,1,1,25,Por Defnir,805ffde1-5431-4b5c-80da-31ccddd1056b,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,28,No Revisado,2076.66167220502
26,4,45CLB,0,0,13,790,Troncal del Magdalena,Variante La Dorada - Puerto Salgar,2,,1,1,45,CONCESION,d761c983-82c2-4c13-8b67-38748ba62989,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,28,No Revisado,14377.1270091076
27,1,4510,38,86,38,246.5,Troncal del Magdalena,Segmentos  Viales fuera de Servicio,2,,3,3,45,IGAC (Contrato 2130/2014),8a033d00-d8e5-49ac-bd45-f54bfd587f22,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,28,No Revisado,237.763159349549
28,1,5008,2,826.8,5,99.7,Transversal Medellin - Bogotá,Segmentos  Viales fuera de Servicio,2,,3,1,50,IGAC (Contrato 2932/2008),514c7940-3488-47d0-ae07-43758b535ae0,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,28,No Revisado,2752.90262507768
29,4,45TL10,0,0,2,820,Alternas a la Troncal del Magdalena,Cruce Ruta 45 (Los Arbolitos) - Cruce Ruta 40 (Terminal),2,,1,1,45,ANI,c4f9737e-90f1-42e1-bf29-519dda8023f1,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,28,No Revisado,2819.25377813709
30,1,3603,0,0,36,253,Alternas Buga - Puerto Inirida,Ortega - Guamo,1,1,1,1,36,IGAC (Contrato 2932/2008),3fce102c-8051-412c-89e1-29538baffc42,Ortega - Guamo,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,24,1,35828.4921548068
31,1,40MTA,80,0,94,583,Alternas a la Transversal Buenaventura - Villavicencio - Puerto Carreño,Pipiral - Villavicencio,1,1,1,1,40,IGAC (Contrato 2130/2014),3dc07453-e781-427d-a0ad-d693648459bf,Pipiral - Villavicencio,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,16,1,14341.0709398124
32,1,4006A,0,0,32,400,Conexión Transversal Buenaventura - Puerto Carreño y Troncal Central del Norte,Bogotá - Choachí - Ubaque,2,,3,1,40,IGAC (Contrato 2932/2008),7a0ff719-6b16-446d-9c5d-8c30b17083c6,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,12,No Revisado,31764.1331902564
33,4,62ANE,0,0,6,416,Troncal de Uraba,Variante de Currulao,2,,1,1,62,Archivo SHP suministrdo por la ANI,2bfd6dbb-59d5-4d77-84c0-306d082d427e,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,1,No Revisado,6528.58051442401
34,1,4505,2,0,110,500,Troncal del Magdalena,Garzón - Neiva,2,,3,1,45,IGAC (Contrato 2130/2014),e9b30328-e75e-4541-b406-f49951a281c0,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,14,No Revisado,106951.018660976
35,1,4301,0,0,49,500,Alternas a la Troncal del Magdalena,Cruce Tesalia - Teruel,1,2,3,1,43,IGAC (Contrato 2130/2014),78418639-3ef3-45da-8307-9973e79d7374,Paicol - Tesalia - Teruel - Palermo,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,14,2,50806.9571430023
36,1,4507,14,150,14,270,Troncal del Magdalena,Puente Saldaña,2,,3,1,45,IGAC (Contrato 2932/2008),0fae14de-adf1-4fa0-bae4-a199b98ad421,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,24,No Revisado,119.955042000585
37,1,4506,83,100,86,400,Troncal del Magdalena,Paso Nacional por Natagaima,1,3,1,1,45,IGAC (Contrato 2932/2008),0d58620b-9105-40db-9a8f-e53e2532a681,"Neiva - Castilla
",SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,14,1,3477.56698122686
38,1,4507,24,60,27,1130,Troncal del Magdalena,Paso Nacional  por El Guamo,1,1,1,1,45,IGAC (Contrato 2932/2008),0373872d-4a7d-4b50-85ee-b31e0d77a285,Castilla - Girardot,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,24,1,3902.93883493482
39,1,6511,0,0,49,550,Troncal Villagarzon - Saravena,Barranca de Upía - Monterrey,2,,3,2,65,IGAC (Contrato 2932/2008),80b1fcd2-ed20-4151-8ad6-c3664ac65f1b,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,7,No Revisado,50685.0220117257
40,1,6509,0,0,69,925,Troncal Villagarzon - Saravena,Ye de Granada - Paso por el Puente sobre el Río Ocoa,2,,3,2,65,IGAC (Contrato 2932/2008),29a9dc4a-50b6-4e06-b0b0-9fc6f0894ee6,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,16,No Revisado,69988.6719318018
41,1,5002,50,0,73,608,Transversal Las Animas - Bogotá,Mumbú - Santa Cecilia,1,1,1,1,50,IGAC (Contrato 2130/2014),df73f2be-9655-46a2-ad55-7b29ebd096db,Las Animas - Santa Cecilia,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,21,1,23102.4409595883
42,4,62ANF,0,0,9,166,Troncal de Uraba,Variante de Apartadó,2,,1,1,62,Archivo SHP suministrdo por la ANI,77ea1c08-ce81-4df3-b0ea-95a729233734,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,1,No Revisado,9333.86618372266
43,1,4007,0,0,0,654,Transversal Buenaventura - Villavicencio - Puerto Carreño,Intersección Séptima Brigada - PR 0+0654,3,,3,1,40,IGAC (Contrato 2932/2008),a2c5787c-4bb4-455b-b34e-a32b4e520d7f,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,16,No Revisado,653.490772906104
44,1,45TLE,0,0,3,100,Troncal del Magdalena,Variante de Natagaima,2,,3,1,45,Google Maps,43bd7e72-efe7-4312-98ab-b1136a72357f,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,14,No Revisado,3066.83302883725
45,1,5504,0,0,102,210,Troncal Central del Norte,La Palmera - Presidente,1,1,3,1,55,IGAC (Contrato 2130/2014),717ed7a2-2cbf-436d-b371-b2b98acb2d10,La Palmera - Presidente,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,22,No Revisado,100897.891027664
46,4,62ANG,0,0,6,457,Troncal de Uraba,Variante de El Reposo,2,,1,1,62,Archivo SHP suministrdo por la ANI,9b961113-be55-4b12-8a6f-4b90cdb8f829,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,1,No Revisado,6616.83996643468
47,1,5009,0,0,35,0,Conexión Transversal Buenaventura - Puerto Carreño y Troncal Central del Norte,Bogotá (Los Patios) - Guasca,2,,3,1,50,IGAC (Contrato 2932/2008),d9015477-4730-4f06-89f6-59722108886f,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,12,No Revisado,34884.6690457596
48,4,P.D.,0,0,0,0,Por Definir,Por Definir,2,,3,1,PDef,IGAC (Contrato 2932/2008),772a3ef4-4924-4c5f-adaf-23de54882702,Por Definir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,28,No Revisado,1875.04019781901
49,1,5607,7,146,45,790,Conexión Troncal Central del Norte - Troncal Villagarzon - Saravena,Brisas - Guateque,2,,3,1,56,IGAC (Contrato 2932/2008),c024599d-6e17-42c2-88ba-6d742fe2f99d,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,12,No Revisado,38163.6285439853
50,1,40CNA,0,0,0,772,Transversal Buenaventura - Villavicencio - Puerto Carreño,Paso por Chipaque,1,1,3,1,40,IGAC (Contrato 2932/2008),442a3c91-ee5c-4d7c-80d7-277625384158,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,12,No Revisado,779.988727445393
51,1,40CN01,0,0,11,150,Transversal Buenaventura - Villavicencio - Puerto Carreño,El Portal - El Antojo,1,1,3,1,40,IGAC (Contrato 2932/2008),4edd5676-4c33-4e4b-8e5d-585070c5140c,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,12,No Revisado,10983.2274656896
52,1,7008,0,0,69,0,Acceso a Cucuta y Venezuela,Ocaña - Alto del Pozo,1,1,3,2,70,IGAC (Contrato 2130/2014),0934bdf2-30ad-456f-80a3-e8778899a8e8,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,26,No Revisado,71077.5347957789
53,1,4008,0,0,109,619,Transversal Buenaventura - Villavicencio - Puerto Carreño,Puerto López - Puerto Gaitán,2,,3,1,40,IGAC (Contrato 2932/2008),6fd44490-a913-46df-a1f2-5a314e414697,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,16,No Revisado,108552.81840074
54,1,5008,5,850,64,0,Transversal Las Animas - Bogotá,Honda - Villeta,1,3,3,1,50,IGAC (Contrato 2932/2008),c4353f5f-cf2c-47b0-8b36-a93f7460c4b6,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,12,No Revisado,58445.2046606657
55,1,5009,35,0,35,500,Conexión Transversal Buenaventura - Puerto Carreño y Troncal Central del Norte,Paso por Guasca,1,1,3,1,50,IGAC (Contrato 2932/2008),a844ed66-eeb6-46eb-a715-d9ad917eae5f,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,12,No Revisado,1272.78811899887
56,1,6404,0,0,128,500,Ruta de Los Libertadores,Belén - Sácama,1,4,3,1,64,IGAC (Contrato 2130/2014),2c58ae45-3b7e-418d-8774-bab6e730deb2,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,4,No Revisado,122961.938566236
57,1,5604,21,500,24,500,Circuito de las Provincias de Rionegro y Bajo Magdalena,Yacopí - La Palma,1,2,3,1,56,IGAC (Contrato 2932/2008),19f331ba-9f83-4497-a38a-89946783ac21,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,12,No Revisado,2983.68658960467
58,1,5604,0,0,19,500,Circuito de las Provincias de Rionegro y Bajo Magdalena,Yacopí - La Palma,1,2,3,1,56,IGAC (Contrato 2932/2008),c1611182-87bb-4027-a557-1f24934ecc9e,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,12,No Revisado,19410.5577803678
59,1,4506,86,400,106,652,Troncal del Magdalena,Natagaima - Castilla,2,,3,1,45,IGAC (Contrato 2932/2008),72a841a0-06c1-4898-9865-2f000cfed295,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,14,No Revisado,20294.7066625346
60,1,4506,0,0,83,100,Troncal del Magdalena,Neiva - Natagaima,2,,3,1,45,IGAC (Contrato 2932/2008),e1edd09d-0aab-43c6-9ab9-94a1c3efb245,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,14,No Revisado,82685.1981040884
61,3,5607,0,0,7,146,Conexión Troncal Central del Norte - Troncal Villagarzon - Saravena,Chocontá - Brisas,1,1,3,1,56,IGAC (Contrato 2932/2008),354b14be-6d11-4e45-a9dd-288f9217b81b,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,12,No Revisado,7148.49902635118
62,1,5608,78,0,92,48,Conexión Troncal Central del Norte - Troncal Villagarzon - Saravena,El Secreto - Aguaclara,2,,3,1,56,IGAC (Contrato 2932/2008),f982f259-f4fb-4d65-a6c0-1730592529ca,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,7,No Revisado,14135.7238275668
63,1,6509,72,2775,72,3045,Troncal Villagarzon - Saravena,Paso por el Puente sobre el Río Ocoa - Villavicencio,2,,3,2,65,IGAC (Contrato 2932/2008),d6e44a5c-7f5c-49ed-bf4a-45a155bb44f7,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,16,No Revisado,2638.59177336951
64,1,6403,0,0,78,11,Transversal Guane - San Gil - Mogotes - La Rosita,Cruce Ruta 45A (San Gil) - Onzaga,1,2,3,1,64,IGAC (Contrato 2932/2008),aeb484a7-45f0-4a53-918e-67b24584d227,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,22,No Revisado,76571.6182037932
65,1,4507,0,0,14,150,Troncal del Magdalena,Castilla - Puente Saldaña,2,,3,1,45,IGAC (Contrato 2932/2008),f5a15b22-43bd-414e-9ee8-2d05aac9644a,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,24,No Revisado,14193.1963744112
66,1,4507,14,270,24,60,Troncal del Magdalena,Castilla - Girardot,2,,3,1,45,IGAC (Contrato 2932/2008),38d70dcf-6794-4b5a-9033-31215110dca4,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,24,No Revisado,9751.58959039206
67,1,4507,27,1130,40,500,Troncal del Magdalena,Castilla - Girardot,2,,3,1,45,IGAC (Contrato 2932/2008),396f43f1-4de4-45a8-8332-4761dd9a78dd,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,24,No Revisado,11716.3307317657
68,1,6508,0,0,103,938,Transversal Buga - Puerto Inirida,Cruce Puerto Rico - Ye de Granada,1,3,3,2,65,IGAC (Contrato 2130/2014),a3917f54-f9ac-4763-8fbe-9f6d8a091ffa,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,16,No Revisado,103594.909103464
69,2,65MTA,0,0,14,0,Alternas a la Transversal Buga - Puerto Inirida,Paso Nacional por Puerto Lleras,1,3,3,2,65,IGAC (Contrato 2932/2008),a1864d04-aa59-4c7d-b3ca-abf4e47a2693,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,16,No Revisado,14446.9413269711
70,1,4507,40,500,45,0,Troncal del Magdalena,Paso Nacional por El Espinal,1,1,3,2,45,IGAC (Contrato 2932/2008),cb1db914-e8dd-4f10-ac4a-7b9a23c3b67b,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,24,No Revisado,6622.58453506413
71,3,65MTB,0,0,1,890,Alternas a la Transversal Buga - Puerto Inirida,Paso Nacional por Puerto Limón,1,3,3,1,65,IGAC (Contrato 2130/2014),3e51b45b-51cf-4e6a-b267-dd31d6739a34,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,16,No Revisado,1873.88714437496
72,1,6509,69,925,72,2775,Troncal Villagarzon - Saravena,Entrada Ciudad Porfía - Caño Tigre,3,,3,1,65,IGAC (Contrato 2932/2008),ec84f18c-f2d4-4396-9032-8a693364eaec,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,16,No Revisado,4597.19849793336
73,1,5007,46,0,46,1150,Transversal Las Animas - Bogotá,Puente Luis Ignacio Andrade en Honda (VARIANTE HONDA - PUERTO BOGOTÁ),1,2,3,2,50,IGAC (Contrato 2932/2008),0ddf4690-7e58-47a6-aec0-431fcf54ee51,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,24,No Revisado,2779.65135735044
74,1,40TL05,0,0,3,224,Transversal Buenaventura - Villavicencio - Puerto Carreño,Cruce Ruta 40 - La Tambora,1,1,3,1,40,IGAC (Contrato 2932/2008),f10bd590-57a4-47d9-b8c0-112c74543930,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,24,No Revisado,3463.9767191817
75,1,40CNB,28,800,40,400,Transversal Buenaventura - Villavicencio - Puerto Carreño,Puente Real - Cáqueza - El Tablón,1,1,3,2,40,IGAC (Contrato 2932/2008),124cad29-31ac-424f-bafc-a4bf2f782cca,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,12,No Revisado,11774.0034669242
76,1,3002,0,0,57,500,Transversal Neiva - San Vicente,Balsillas - Santo  Domingo,1,3,3,2,30,IGAC (Contrato 2130/2014),eca27931-b5ba-4452-ad70-451ffb575f0f,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,14,No Revisado,58651.9529872177
77,1,6504,0,0,81,92,Troncal Villagarzon - Saravena,Puerto Rico - Mina Blanca,1,3,3,1,65,IGAC (Contrato 2130/2014),b37a2c2d-0010-4c8f-8e7f-524a0d1208a4,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,6,No Revisado,80642.0112580748
78,1,29CL03-1,0,0,3,189,Conexion Troncal del Eje Cafetero - Transversal Las Animas - Bogotá,Club Campestre - La Trinidad,2,,3,1,29,IGAC (Contrato 2932/2008),252ff7c5-6de5-43a1-995b-358cff334794,Por Defnir,SIG_INVIAS,6/17/2025 5:01:15 AM,SIG_INVIAS,6/17/2025 5:01:15 AM,5,No Revisado,6693.54664060796
